2014-01-01,普通預金,500000,元入金,500000,個人口座をそのまま事業用に
2014-01-01,現金,50000,元入金,50000,事業用資金
2014-01-01,開業費,100000,事業主借,100000,開業前の書籍、PC、PCソフト購入費用
2014-01-04,通信費,10000,普通預金,10000,携帯電話
2014-01-04,現金,10000,普通預金,10000,引き出し
2014-01-05,新聞図書費,1470,現金,1470,フリーランスを代表して申告と節税について聞いてきました
2014-01-28,事業主貸,6270,普通預金,6270,カード引き落とし キラキラ 飲み代
2014-01-28,消耗品費,3348,普通預金,3348,カード引き落とし 東急ハンズ SHOT NOTE Nuboard
2014-01-28,消耗品費,9800,普通預金,9800,カード引き落とし アップル OmniGraffle for Mac
2014-01-15,現金,50000,普通預金,50000,引き出し
2014-01-15,支払手数料,108,普通預金,108,引き出し手数料 
2014-01-27,地代家賃,60000,普通預金,60000,家賃/事務所費
2014-01-27,水道光熱費,4000,普通預金,4000,東京電力
2014-01-27,水道光熱費,3000,普通預金,3000,都市ガス
2014-01-27,通信費,4000,普通預金,4000,インターネット接続使用料
2014-02-01,現金,10000,普通預金,10000,引き出し
2014-02-01,旅費交通費,10000,現金,10000,交通費
2014-02-01,事業主貸,100000,現金,100000,生活費
2014-02-01,通信費,10000,普通預金,10000,携帯電話
2014-02-01,現金,50000,普通預金,50000,引き出し
2014-02-15,現金,50000,普通預金,50000,引き出し
2014-02-15,支払手数料,108,普通預金,108,引き出し手数料 
2014-02-27,地代家賃,60000,普通預金,60000,家賃/事務所費
2014-02-27,水道光熱費,4000,普通預金,4000,東京電力
2014-02-27,水道光熱費,3000,普通預金,3000,都市ガス
2014-02-27,通信費,4000,普通預金,4000,インターネット接続使用料
2014-02-28,売掛金,300000,売上,300000,株式会社○○ 1月分 請求
2014-03-01,現金,10000,普通預金,10000,引き出し
2014-03-01,旅費交通費,10000,現金,10000,交通費
2014-03-01,事業主貸,100000,現金,100000,生活費
2014-03-01,通信費,10000,普通預金,10000,携帯電話
2014-03-01,現金,50000,普通預金,50000,引き出し
2014-03-15,現金,50000,普通預金,50000,引き出し
2014-03-15,支払手数料,108,普通預金,108,引き出し手数料 
2014-03-25,普通預金,270000,売掛金,270000,株式会社○○ 1月分 入金
2014-03-25,事業主貸,30000,売掛金,30000,株式会社○○ 1月分 源泉徴収
2014-03-27,地代家賃,60000,普通預金,60000,家賃/事務所費
2014-03-27,水道光熱費,4000,普通預金,4000,東京電力
2014-03-27,水道光熱費,3000,普通預金,3000,都市ガス
2014-03-27,通信費,4000,普通預金,4000,インターネット接続使用料
2014-03-28,売掛金,300000,売上,300000,株式会社○○ 2月分 請求
2014-04-01,現金,10000,普通預金,10000,引き出し
2014-04-01,旅費交通費,10000,現金,10000,交通費
2014-04-01,事業主貸,100000,現金,100000,生活費
2014-04-01,通信費,10000,普通預金,10000,携帯電話
2014-04-01,現金,50000,普通預金,50000,引き出し
2014-04-15,現金,50000,普通預金,50000,引き出し
2014-04-15,支払手数料,108,普通預金,108,引き出し手数料 
2014-04-25,普通預金,270000,売掛金,270000,株式会社○○ 2月分 入金
2014-04-25,事業主貸,30000,売掛金,30000,株式会社○○ 2月分 源泉徴収
2014-04-27,地代家賃,60000,普通預金,60000,家賃/事務所費
2014-04-27,水道光熱費,4000,普通預金,4000,東京電力
2014-04-27,水道光熱費,3000,普通預金,3000,都市ガス
2014-04-27,通信費,4000,普通預金,4000,インターネット接続使用料
2014-04-28,売掛金,300000,売上,300000,株式会社○○ 3月分 請求
2014-05-01,現金,10000,普通預金,10000,引き出し
2014-05-01,旅費交通費,10000,現金,10000,交通費
2014-05-01,事業主貸,100000,現金,100000,生活費
2014-05-01,通信費,10000,普通預金,10000,携帯電話
2014-05-01,現金,50000,普通預金,50000,引き出し
2014-05-15,現金,50000,普通預金,50000,引き出し
2014-05-15,支払手数料,108,普通預金,108,引き出し手数料 
2014-05-25,普通預金,270000,売掛金,270000,株式会社○○ 3月分 入金
2014-05-25,事業主貸,30000,売掛金,30000,株式会社○○ 3月分 源泉徴収
2014-05-27,地代家賃,60000,普通預金,60000,家賃/事務所費
2014-05-27,水道光熱費,4000,普通預金,4000,東京電力
2014-05-27,水道光熱費,3000,普通預金,3000,都市ガス
2014-05-27,通信費,4000,普通預金,4000,インターネット接続使用料
2014-05-28,売掛金,300000,売上,300000,株式会社○○ 4月分 請求
2014-06-01,現金,10000,普通預金,10000,引き出し
2014-06-01,旅費交通費,10000,現金,10000,交通費
2014-06-01,事業主貸,100000,現金,100000,生活費
2014-06-01,通信費,10000,普通預金,10000,携帯電話
2014-06-01,現金,50000,普通預金,50000,引き出し
2014-06-15,現金,50000,普通預金,50000,引き出し
2014-06-15,支払手数料,108,普通預金,108,引き出し手数料 
2014-06-25,普通預金,270000,売掛金,270000,株式会社○○ 4月分 入金
2014-06-25,事業主貸,30000,売掛金,30000,株式会社○○ 4月分 源泉徴収
2014-06-27,地代家賃,60000,普通預金,60000,家賃/事務所費
2014-06-27,水道光熱費,4000,普通預金,4000,東京電力
2014-06-27,水道光熱費,3000,普通預金,3000,都市ガス
2014-06-27,通信費,4000,普通預金,4000,インターネット接続使用料
2014-06-28,売掛金,300000,売上,300000,株式会社○○ 5月分 請求
2014-07-01,現金,10000,普通預金,10000,引き出し
2014-07-01,旅費交通費,10000,現金,10000,交通費
2014-07-01,事業主貸,100000,現金,100000,生活費
2014-07-01,通信費,10000,普通預金,10000,携帯電話
2014-07-01,現金,50000,普通預金,50000,引き出し
2014-07-15,現金,50000,普通預金,50000,引き出し
2014-07-15,支払手数料,108,普通預金,108,引き出し手数料 
2014-07-25,普通預金,270000,売掛金,270000,株式会社○○ 5月分 入金
2014-07-25,事業主貸,30000,売掛金,30000,株式会社○○ 5月分 源泉徴収
2014-07-27,地代家賃,60000,普通預金,60000,家賃/事務所費
2014-07-27,水道光熱費,4000,普通預金,4000,東京電力
